site,kind,target,notes
0x02000C56,bl,0x02016014,direct immediate target
0x02000C5A,bl,0x02016148,direct immediate target
0x02000C5E,bl,0x020163BC,direct immediate target
0x02000C64,bl,0x02016438,direct immediate target
0x02000C6C,blx,0x020D50D8,direct immediate target
0x02000C70,bl,0x02022294,direct immediate target
0x02000C74,bl,0x0201259C,direct immediate target
0x02000C78,bl,0x02000DF4,direct immediate target
0x02000C7C,bl,0x02002C14,direct immediate target
0x02000C84,bl,0x02002C50,direct immediate target
0x02000C8C,bl,0x02002C50,direct immediate target
0x02000C94,bl,0x02002C50,direct immediate target
0x02000CA0,bl,0x0202254C,direct immediate target
0x02000CA8,bl,0x02029EF8,direct immediate target
0x02000CB2,bl,0x02023900,direct immediate target
0x02000CBA,bl,0x02003B98,direct immediate target
0x02000CBE,bl,0x02020AFC,direct immediate target
0x02000CC4,bl,0x020337E8,direct immediate target
0x02000CD0,bl,0x02034188,direct immediate target
0x02000CD8,bl,0x020227FC,direct immediate target
0x02000CE2,bl,0x02089D90,direct immediate target
0x02000D00,bl,0x02000E7C,direct immediate target
0x02000D10,bl,0x02000E7C,direct immediate target
0x02000D16,bl,0x02020C2C,direct immediate target
0x02000D24,bl,0x02000FA4,direct immediate target
0x02000D28,bl,0x0200A2AC,direct immediate target
0x02000D2C,bl,0x02015E30,direct immediate target
0x02000D40,bl,0x02000EE8,direct immediate target
0x02000D44,bl,0x02000FE8,direct immediate target
0x02000D48,bl,0x02016464,direct immediate target
0x02000D60,bl,0x02000F18,direct immediate target
0x02000D64,bl,0x0202FB80,direct immediate target
0x02000D6C,bl,0x02000E0C,direct immediate target
0x02000D72,bl,0x0201B5CC,direct immediate target
0x02000D78,bl,0x0201B5CC,direct immediate target
0x02000D86,blx,0x020C9C0C,direct immediate target
0x02000D90,bl,0x020125D4,direct immediate target
0x02000D94,bl,0x02015E60,direct immediate target
0x02000D98,bl,0x020222C4,direct immediate target
0x02000D9E,bl,0x0201B5CC,direct immediate target
0x02000DA6,blx,0x020C9C0C,direct immediate target
0x02000DB2,bl,0x0200A318,direct immediate target
0x02000DB6,bl,0x0200E2D8,direct immediate target
0x02000DC2,blx_reg,,indirect callback/function-pointer call
0x02000DC4,bl,0x02003C10,direct immediate target
0x02000DCA,bl,0x0201B5CC,direct immediate target
