file_id,path,start,end,size
87,application/custom_ball/data/cb_data.narc,58786304,58847116,60812
88,application/wifi_earth/wifi_earth.narc,58401792,58553972,152180
89,application/wifi_earth/wifi_earth_place.narc,58554368,58557640,3272
90,application/zukanlist/zkn_data/zukan_data.narc,58378752,58401304,22552
91,application/zukanlist/zkn_data/zukan_enc_diamond.narc,59998208,60069856,71648
92,application/zukanlist/zkn_data/zukan_enc_pearl.narc,60069888,60141512,71624
93,arc/bm_anime.narc,58937344,58974720,37376
94,arc/bm_anime_list.narc,58974720,58989752,15032
95,arc/encdata_ex.narc,58990080,58991908,1828
96,arc/ppark.narc,58992128,58995148,3020
97,arc/ship_demo.narc,58995200,59090264,95064
98,arc/tv.narc,59090432,59091328,896
99,battle/b_tower/btdpm.narc,59941376,59964252,22876
100,battle/b_tower/btdtr.narc,59964416,59998144,33728
101,battle/graphic/b_bag_gra.narc,29578240,29598468,20228
102,battle/graphic/b_plist_gra.narc,29598720,29673128,74408
103,battle/graphic/batt_bg.narc,29673472,30313596,640124
104,battle/graphic/batt_obj.narc,30313984,30445660,131676
105,battle/graphic/vs_demo_gra.narc,30446080,30466944,20864
106,battle/skill/be_seq.narc,30734336,30751228,16892
107,battle/skill/sub_seq.narc,30751232,30802232,51000
108,battle/skill/waza_seq.narc,30802432,30808848,6416
109,battle/tr_ai/tr_ai_seq.narc,58894848,58937296,42448
110,contest/data/contest_data.narc,58330112,58344252,14140
111,contest/graphic/contest_bg.narc,58225152,58305860,80708
112,contest/graphic/contest_obj.narc,58306048,58329892,23844
113,data/area00light.txt,3379712,3381794,2082
114,data/area01light.txt,3382272,3384296,2024
115,data/area02light.txt,3384320,3386434,2114
116,data/battle_win.NSCR,3386880,3388964,2084
117,data/btower_canm.resdat,3389440,3389492,52
118,data/btower_celact.cldat,3389952,3390016,64
119,data/btower_cell.resdat,3390464,3390516,52
120,data/btower_chr.resdat,3390976,3391028,52
121,data/btower_pal.resdat,3391488,3391540,52
122,data/cell0.NCGR,3392000,3400240,8240
123,data/cell0.NCLR,3400704,3401256,552
124,data/clact_default.NANR,3401728,3401839,111
125,data/crystal.nsbmd,3402240,3405572,3332
126,data/demo_climax.narc,3405824,3878444,472620
127,data/dp_areawindow.NCGR,3878912,3879280,368
128,data/dp_areawindow.NCLR,3879424,3879976,552
129,data/dt_test_celact.txt,3880448,3880502,54
130,data/dt_test_res_cell.txt,3880960,3880998,38
131,data/dt_test_res_cellanm.txt,3881472,3881510,38
132,data/dt_test_res_char.txt,3881984,3882027,43
133,data/dt_test_res_multi.txt,3882496,3882512,16
134,data/dt_test_res_multianm.txt,3883008,3883024,16
135,data/dt_test_res_pltt.txt,3883520,3883565,45
136,data/dun_sea.nsbtx,3884032,3885432,1400
137,data/eoo.dat,3885568,4172288,286720
138,data/exdata.dat,4172288,4172580,292
139,data/field_cutin.narc,4172800,4226592,53792
140,data/fld_anime0.bin,4227072,4227144,72
141,data/fld_anime1.bin,4227584,4227656,72
142,data/fld_anime10.bin,4228096,4228168,72
143,data/fld_anime2.bin,4228608,4228680,72
144,data/fld_anime3.bin,4229120,4229192,72
145,data/fld_anime4.bin,4229632,4229704,72
146,data/fld_anime5.bin,4230144,4230216,72
147,data/fld_anime6.bin,4230656,4230728,72
148,data/fld_anime7.bin,4231168,4231240,72
149,data/fld_anime8.bin,4231680,4231752,72
150,data/fld_anime9.bin,4232192,4232264,72
151,data/fs_kanban.nsbca,4232704,4234740,2036
152,data/ground0.NCGR,4234752,4267568,32816
153,data/ground0.NCLR,4268032,4268584,552
154,data/ground0.NSCR,4269056,4271140,2084
155,data/kemu_itpconv.dat,4271616,4271636,20
156,data/lake_anim.nsbtx,4272128,4276560,4432
157,data/miniasahamabe.nsbtx,4276736,4281224,4488
158,data/miniasasea.nsbtx,4281344,4282744,1400
159,data/minihamabe.nsbtx,4282880,4287368,4488
160,data/minimum.nsbtx,4287488,4288888,1400
161,data/minirhana.nsbtx,4289024,4289736,712
162,data/namein.narc,4290048,4306264,16216
163,data/nfont.NCGR,4306432,4339248,32816
164,data/nfont.NCLR,4339712,4340264,552
165,data/pc.nsbca,4340736,4341132,396
166,data/plist_canm.resdat,4341248,4341444,196
167,data/plist_cell.resdat,4341760,4341956,196
168,data/plist_chr.resdat,4342272,4342588,316
169,data/plist_h.cldat,4342784,4343200,416
170,data/plist_pal.resdat,4343296,4343444,148
171,data/porucase_canm.resdat,4343808,4343884,76
172,data/porucase_celact.cldat,4344320,4344416,96
173,data/porucase_cell.resdat,4344832,4344908,76
174,data/porucase_chr.resdat,4345344,4345420,76
175,data/porucase_pal.resdat,4345856,4345908,52
176,data/pst_canm.resdat,4346368,4346804,436
177,data/pst_cell.resdat,4346880,4347316,436
178,data/pst_chr.resdat,4347392,4348452,1060
179,data/pst_h.cldat,4348928,4350336,1408
180,data/pst_pal.resdat,4350464,4350636,172
181,data/shop_canm.resdat,4350976,4351076,100
182,data/shop_cell.resdat,4351488,4351588,100
183,data/shop_chr.resdat,4352000,4352100,100
184,data/shop_h.cldat,4352512,4352640,128
185,data/shop_pal.resdat,4353024,4353100,76
186,data/slot.narc,4353536,4441924,88388
187,data/smptm_koori.NANR,4442112,4442275,163
188,data/smptm_koori.NCER,4442624,4442839,215
189,data/smptm_koori.NCGR,4443136,4446384,3248
190,data/smptm_koori.NCLR,4446720,4447272,552
191,data/smptm_nemuri.NANR,4447744,4447855,111
192,data/smptm_nemuri.NCER,4448256,4448355,99
193,data/smptm_nemuri.NCGR,4448768,4449328,560
194,data/smptm_nemuri.NCLR,4449792,4450344,552
195,data/t3_fl_b.nsbtx,4450816,4451408,592
196,data/t3_fl_p.nsbtx,4451840,4452432,592
197,data/t3_fl_r.nsbtx,4452864,4453456,592
198,data/t3_fl_y.nsbtx,4453888,4454480,592
199,data/test.atr,4454912,4456960,2048
200,data/tmap_block.dat,4456960,4461332,4372
201,data/tmap_flags.dat,4461568,4462300,732
202,data/tmapn_canm.resdat,4462592,4462740,148
203,data/tmapn_celact.cldat,4463104,4463296,192
