container_chain,depth,parent_narc_path,parent_file_id,rom_offset,size,sha256,bom,version,declared_file_size,header_size,block_count,member_count,named_member_count,validation
/application/custom_ball/data/cb_data.narc,0,/application/custom_ball/data/cb_data.narc,87,58786304,60812,4b25ee9d91e977fcbf4be1cab7d2ba15cfb6d58983d5ef5ebeaca137409506a1,0xfffe,0x0100,60812,16,3,295,0,valid
/application/wifi_earth/wifi_earth.narc,0,/application/wifi_earth/wifi_earth.narc,88,58401792,152180,a529c990a715b9599316abf4049a14a23b4c18a019b69a41b2630fb921460ff6,0xfffe,0x0100,152180,16,3,8,0,valid
/application/wifi_earth/wifi_earth_place.narc,0,/application/wifi_earth/wifi_earth_place.narc,89,58554368,3272,067806345d96ce91f3cd76aaafddf4b6a915c512499fbf61f49e0368a59c7e84,0xfffe,0x0100,3272,16,3,19,0,valid
/application/zukanlist/zkn_data/zukan_data.narc,0,/application/zukanlist/zkn_data/zukan_data.narc,90,58378752,22552,60a0e09f5a78a625cca5b7e150fd6c17dcb98bc0ba2859f7119ac585d6e04432,0xfffe,0x0100,22552,16,3,58,0,valid
/application/zukanlist/zkn_data/zukan_enc_diamond.narc,0,/application/zukanlist/zkn_data/zukan_enc_diamond.narc,91,59998208,71648,b8cb42e92606e365f31bb869ae606aade7fbecb60806f98016bc52c24734a992,0xfffe,0x0100,71648,16,3,4954,0,valid
/application/zukanlist/zkn_data/zukan_enc_pearl.narc,0,/application/zukanlist/zkn_data/zukan_enc_pearl.narc,92,60069888,71624,a57924fd8444d022afbf56dd0fe0bb9c82108e5dbfacb65572989d1227288eaa,0xfffe,0x0100,71624,16,3,4954,0,valid
/arc/bm_anime.narc,0,/arc/bm_anime.narc,93,58937344,37376,5b46f1446499c070966515ab667ab4223bf00ea62b1b5397eda43eea629ec68b,0xfffe,0x0100,37376,16,3,64,0,valid
/arc/bm_anime_list.narc,0,/arc/bm_anime_list.narc,94,58974720,15032,3547a1cc82d4388f2fc37fcf6b25176b686645dc4b0c9b70d179d9865cdd8c07,0xfffe,0x0100,15032,16,3,535,0,valid
/arc/encdata_ex.narc,0,/arc/encdata_ex.narc,95,58990080,1828,5a466b26b3595ff878992810881d77bda8661c2776e92036612e12fdc9026c8d,0xfffe,0x0100,1828,16,3,12,0,valid
/arc/ppark.narc,0,/arc/ppark.narc,96,58992128,3020,78ed2c1252ca3d76324b60f2fedbb7f20bc84e3ac08f55f87aa1e7ac38173528,0xfffe,0x0100,3020,16,3,1,0,valid
/arc/ship_demo.narc,0,/arc/ship_demo.narc,97,58995200,95064,b596db0ce389ad0b3bbb3dbe4112f8e9306a3b7519036eeac6cb0ff7f36931fd,0xfffe,0x0100,95064,16,3,20,0,valid
/arc/tv.narc,0,/arc/tv.narc,98,59090432,896,6bf46c807745f991dae47e3633aeae516479c2e5d84acc10767fe0c9a9bafd55,0xfffe,0x0100,896,16,3,3,0,valid
/battle/b_tower/btdpm.narc,0,/battle/b_tower/btdpm.narc,99,59941376,22876,776d9ad316bd6a9d97f45ca6dc5405dbf2e3e96f75a36118619bcad4081bec6c,0xfffe,0x0100,22876,16,3,951,0,valid
/battle/b_tower/btdtr.narc,0,/battle/b_tower/btdtr.narc,100,59964416,33728,9d8e016906e413d77a3a30856764f7605c03b9c0d956601e6262a4918b0f0040,0xfffe,0x0100,33728,16,3,307,0,valid
/battle/graphic/b_bag_gra.narc,0,/battle/graphic/b_bag_gra.narc,101,29578240,20228,1bad36d04c4462f5e43df643f0f2bb388f0230e917253d66401db9e2ae39ed7b,0xfffe,0x0100,20228,16,3,4,0,valid
/battle/graphic/b_plist_gra.narc,0,/battle/graphic/b_plist_gra.narc,102,29598720,74408,1786a3fdf7ddfbdb88e4c723ea7e16ebf9b4b45599264aac7bdeb523db57b300,0xfffe,0x0100,74408,16,3,28,0,valid
/battle/graphic/batt_bg.narc,0,/battle/graphic/batt_bg.narc,103,29673472,640124,bcf2c24ae32b38a546b9b293b16af3782b706fd6dc5ec9d58c1e245655ce05ab,0xfffe,0x0100,640124,16,3,257,0,valid
/battle/graphic/batt_obj.narc,0,/battle/graphic/batt_obj.narc,104,30313984,131676,04e5df4768970cc2c677047efd2f280a17f522017cad05436badf52d4e00ae82,0xfffe,0x0100,131676,16,3,279,0,valid
/battle/graphic/vs_demo_gra.narc,0,/battle/graphic/vs_demo_gra.narc,105,30446080,20864,0f2b6db0502d559797ce7bf9c56b84fdbb5d8deed2113447e407d06b09a8af4c,0xfffe,0x0100,20864,16,3,9,0,valid
/battle/skill/be_seq.narc,0,/battle/skill/be_seq.narc,106,30734336,16892,9bef02e3319ba414c4146b5fff87fd727b72a655079fb3ff68a4f7c24f17b476,0xfffe,0x0100,16892,16,3,277,0,valid
