table_index,overlay_id,ram_address,ram_end,ram_size,bss_size,static_init_start,static_init_end,file_id,file_path,file_offset,file_size,file_sha256,compressed_size_field,flags,compression_flag
0,0,35484896,35484928,32,0,35484896,35484900,0,__unmapped__/file_00000,1098752,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
1,1,35484896,35484960,32,32,35484912,35484920,1,__unmapped__/file_00001,1099264,32,7d714ebd20b8188e95318e524e9f8b3fb8d4dc194e1be591a1717eb574a5bc6e,0,0,False
2,2,35484960,35484992,32,0,35484960,35484964,2,__unmapped__/file_00002,1099776,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
3,3,33523456,33523488,32,0,33523456,33523460,3,__unmapped__/file_00003,1100288,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
4,4,35484896,35724896,231136,8864,35700372,35700376,4,__unmapped__/file_00004,1100800,231136,7bade8989412a7f7d12dfe1013ff04fa0aa92a047f6bb6e6865769b4554c427b,0,0,False
5,5,35484896,35886752,156064,245792,35639752,35639756,5,__unmapped__/file_00005,1332224,156064,577193fd5e6469189b35a99e5fb30908d5256e6bbbdcf876158a38ec3bca526a,0,0,False
6,6,35886752,35988544,101760,32,35988020,35988024,6,__unmapped__/file_00006,1488384,101760,f6920dd94a4bd53d52f7013d2820f63c28f9bd48e3adb8822ff60bff0a6baed2,0,0,False
7,7,35724896,35737920,13024,0,35737908,35737912,7,__unmapped__/file_00007,1590272,13024,9aa387f2507e5fb00897b2095737e2d8bfc9153b05feafc4ad93e09e8f4cdea1,0,0,False
8,8,35724896,35837376,112480,0,35837336,35837340,8,__unmapped__/file_00008,1603584,112480,02928071c3bdc21940f57cf8a0eddd75dd081fa3918422703d5c014fffecdabf,0,0,False
9,9,35724896,35766272,41376,0,35766248,35766252,9,__unmapped__/file_00009,1716224,41376,ceeef1bc433239ec4cbf996dbb55ff2a8f7cc8a8501c398805d5f7ceef9a3ea3,0,0,False
10,10,35484896,35484928,32,0,35484896,35484900,10,__unmapped__/file_00010,1757696,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0,0,False
11,11,35837376,36044704,207328,0,36044568,36044576,11,__unmapped__/file_00011,1758208,207328,2d3e2d84d2ff4f8c4bf762b0801374e45312a30286dd84bea6aede912d71ff14,0,0,False
12,12,35837376,35940384,103008,0,35940368,35940376,12,__unmapped__/file_00012,1965568,103008,7b5babd2b68ac51443aa394c627ef75ae02400137f2675563ed5a831bc92bbc9,0,0,False
13,13,35724896,35926560,191456,10208,35911528,35911532,13,__unmapped__/file_00013,2068992,191456,6247397a0bded739df236624c4ed438093535063ef498af28b1786aad6d84935,0,0,False
14,14,35484896,35548064,62752,416,35547592,35547596,14,__unmapped__/file_00014,2260480,62752,a8c8bdcfd94a2a87ba26d6e44c75ef2c0d3b7e329005f94a7e881bfbea753e32,0,0,False
15,15,35484896,35502944,18048,0,35502940,35502944,15,__unmapped__/file_00015,2323456,18048,ebd5074438a9541aaa5d217c03bf1a35c4bc70d2e32747a6f7fbeabb97a7ff30,0,0,False
16,16,35484896,35650016,165120,0,35649988,35649992,16,__unmapped__/file_00016,2341888,165120,abb12393dd6d0f4eaade688b414d342000ba7d9574613d9f93d014cd786254f7,0,0,False
17,17,35484896,35513184,28288,0,35513172,35513176,17,__unmapped__/file_00017,2507264,28288,543271f2630698c60cbd7622cc7afb7a3fa277b363bb2015bf9c2a3a2cf190ee,0,0,False
18,18,35886752,35984384,97504,128,35981400,35981404,18,__unmapped__/file_00018,2535936,97504,8d617521294583913c758ee7fed5524577b28662fb0d0c20650b72f57ee977fc,0,0,False
19,19,35988544,35988800,256,0,35988772,35988776,19,__unmapped__/file_00019,2633728,256,265b3083ee8856d7554732c2149c0389d6797e81bba50cff1803d18357be9774,0,0,False
20,20,35988544,35997760,9216,0,35997752,35997756,20,__unmapped__/file_00020,2634240,9216,c2740e1643d9939671bb6c434058364ef767dbefb50fcf2ea4edb7d1a3169800,0,0,False
21,21,35997760,35999232,1472,0,35999208,35999216,21,__unmapped__/file_00021,2643456,1472,14a8108fc5ab07e72035acda984fd63a237efb1e4b642b779641a6dfde650bfe,0,0,False
22,22,35997760,36001600,3840,0,36001584,36001592,22,__unmapped__/file_00022,2644992,3840,a10cc560afd7af25d9b0382f5f6dc78cfb0104383f9df67fe72461a4724c88ea,0,0,False
23,23,35997760,36004160,6400,0,36004136,36004144,23,__unmapped__/file_00023,2649088,6400,74c2e4a74e4a41f98e90f8513bf496295c35fb5f9d6b8540cc9864af3c21568c,0,0,False
24,24,35997760,36000224,2464,0,36000192,36000200,24,__unmapped__/file_00024,2655744,2464,51a9af3ac5046c880fbf115275c28b4d71ed83a3d7155eadae3baa4968b290c0,0,0,False
25,25,35997760,35999136,1376,0,35999104,35999112,25,__unmapped__/file_00025,2658304,1376,b0f63859a3357cc33ca03d61132d3ea483d8af00c69c12324f66da1dee9af916,0,0,False
26,26,35997760,35999808,2048,0,35999776,35999784,26,__unmapped__/file_00026,2659840,2048,811217f7d65fb474f089e2543b7f9a7ebd74cca6c6ea401a13ddafac2cf91856,0,0,False
27,27,35997760,36000736,2976,0,36000708,36000716,27,__unmapped__/file_00027,2661888,2976,5aa86b3f432e3d940f4a310ff1d337466946765495a0dc8632247ef8e429f94f,0,0,False
28,28,35997760,36003776,6016,0,36003608,36003616,28,__unmapped__/file_00028,2664960,6016,00aced84bacfa312c5fa22d22d3e64f7971a5948530594d0af8ad25cca1e0483,0,0,False
29,29,35997760,36000064,2304,0,36000044,36000052,29,__unmapped__/file_00029,2671104,2304,4c4919bba8d878bd47aaf7b98eb50b4a5860e6337505fb48be8a34c6710a42a7,0,0,False
30,30,35997760,35999296,1536,0,35999272,35999280,30,__unmapped__/file_00030,2673664,1536,c6c45f26007ff97c8e209cd84b58b4b55fead689ea5149700ad7b8a91ee1fb88,0,0,False
31,31,35997760,35999296,1536,0,35999264,35999272,31,__unmapped__/file_00031,2675200,1536,89c406128241e415c7bf16fcf538150bcfdf9349cb1364245563aea2af9ef975,0,0,False
32,32,35997760,35998944,1184,0,35998916,35998924,32,__unmapped__/file_00032,2676736,1184,d98852300f1f773cf30b380201ccab71ff4bc06c0ea2a0c865bc2090f4693022,0,0,False
33,33,35997760,35998560,800,0,35998528,35998536,33,__unmapped__/file_00033,2678272,800,63075a78bde98567ff4e13b4267d2e7a2a71737bfe0435dac38c6899f413f993,0,0,False
34,34,35997760,35998976,1216,0,35998968,35998976,34,__unmapped__/file_00034,2679296,1216,d2b0f9a24b2be9541ca28ed2ebf25adcb87565541ddc47a5954a73be713eb92f,0,0,False
35,35,35997760,36000224,2464,0,36000192,36000200,35,__unmapped__/file_00035,2680832,2464,37aa387a1589b8690872db985b8c5b3773c8eb47ea9270b6a584cf1e7686b1e2,0,0,False
36,36,35997760,36001024,3264,0,36001016,36001024,36,__unmapped__/file_00036,2683392,3264,6d66f8dad90d8c559b499b48f806e3970292631cb9352253e16b2f844e0a2d7c,0,0,False
37,37,35997760,35999168,1376,32,35999120,35999128,37,__unmapped__/file_00037,2686976,1376,5675cac6082947d47367a6d1497112408ba013ebbef1f58277f12a9e59d2baa9,0,0,False
38,38,35997760,36000640,2880,0,36000608,36000616,38,__unmapped__/file_00038,2688512,2880,1a081a06fe528b4163a3cb25649e5f81c2b489f8181eb536cfe5d26f0a7b4e55,0,0,False
39,39,35997760,36001024,3264,0,36000996,36001004,39,__unmapped__/file_00039,2691584,3264,3adcf31153f502f4119a05271c1141177bbf74c720a5419545453f854a5b7926,0,0,False
40,40,35997760,36000928,3168,0,36000896,36000904,40,__unmapped__/file_00040,2695168,3168,201af4d8c1349f1925b6bc2edfb46bd92df32c9701aa8c56017446e77a85b7e0,0,0,False
41,41,35997760,36002176,4416,0,36002164,36002172,41,__unmapped__/file_00041,2698752,4416,70f384984bddc1fad09abb16d793e11d066ad3536312652fdc1d7630b6fe6a64,0,0,False
42,42,35997760,36000064,2304,0,36000028,36000036,42,__unmapped__/file_00042,2703360,2304,4de4706dcb7068ef232cd3a152a6e90088b78f887bd90158e12010552e65179e,0,0,False
43,43,35997760,36000256,2496,0,36000236,36000244,43,__unmapped__/file_00043,2705920,2496,49b5e70784b7d0ad3fef82677b5b49ac55e46239f47960f446b291cab9ebb28b,0,0,False
