file_id,path,offset,end,size,sha256,extension,format,signature_hex
0,__unmapped__/file_00000,1098752,1098784,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
1,__unmapped__/file_00001,1099264,1099296,32,7d714ebd20b8188e95318e524e9f8b3fb8d4dc194e1be591a1717eb574a5bc6e,,,02484168491c41607047c04600751d02
2,__unmapped__/file_00002,1099776,1099808,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
3,__unmapped__/file_00003,1100288,1100320,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
4,__unmapped__/file_00004,1100800,1331936,231136,7bade8989412a7f7d12dfe1013ff04fa0aa92a047f6bb6e6865769b4554c427b,,,70b5051c57480c1c4068002801d049f6
5,__unmapped__/file_00005,1332224,1488288,156064,577193fd5e6469189b35a99e5fb30908d5256e6bbbdcf876158a38ec3bca526a,,Nintendo LZ10,10b5041ca06843f63bfb44f60fff32f6
6,__unmapped__/file_00006,1488384,1590144,101760,f6920dd94a4bd53d52f7013d2820f63c28f9bd48e3adb8822ff60bff0a6baed2,,,70b5051c281d141c1e1c296000f03ef8
7,__unmapped__/file_00007,1590272,1603296,13024,9aa387f2507e5fb00897b2095737e2d8bfc9153b05feafc4ad93e09e8f4cdea1,,,38b5051c084809496b6a6422f4f5bcf9
8,__unmapped__/file_00008,1603584,1716064,112480,02928071c3bdc21940f57cf8a0eddd75dd081fa3918422703d5c014fffecdabf,,,0021c943884203d08100024840587047
9,__unmapped__/file_00009,1716224,1757600,41376,ceeef1bc433239ec4cbf996dbb55ff2a8f7cc8a8501c398805d5f7ceef9a3ea3,,,38b5051c687c052801d9002068741a48
10,__unmapped__/file_00010,1757696,1757728,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
11,__unmapped__/file_00011,1758208,1965536,207328,2d3e2d84d2ff4f8c4bf762b0801374e45312a30286dd84bea6aede912d71ff14,,,70b58ab00c1c061cd8f560fe2168051c
12,__unmapped__/file_00012,1965568,2068576,103008,7b5babd2b68ac51443aa394c627ef75ae02400137f2675563ed5a831bc92bbc9,,,f0b585b0051c0020011ce8f5a1fce8f5
13,__unmapped__/file_00013,2068992,2260448,191456,6247397a0bded739df236624c4ed438093535063ef498af28b1786aad6d84935,,,38b5041c1cf61afbbaf67cefbbf694e9
14,__unmapped__/file_00014,2260480,2323232,62752,a8c8bdcfd94a2a87ba26d6e44c75ef2c0d3b7e329005f94a7e881bfbea753e32,,,38b50122051c0320092192033ff696f9
15,__unmapped__/file_00015,2323456,2341504,18048,ebd5074438a9541aaa5d217c03bf1a35c4bc70d2e32747a6f7fbeabb97a7ff30,,,38b50c1c2168051c002902d001291cd0
16,__unmapped__/file_00016,2341888,2507008,165120,abb12393dd6d0f4eaade688b414d342000ba7d9574613d9f93d014cd786254f7,,,38b588b00021051c36200a1c2cf626ff
17,__unmapped__/file_00017,2507264,2535552,28288,543271f2630698c60cbd7622cc7afb7a3fa277b363bb2015bf9c2a3a2cf190ee,,,f8b50f1c051c381c08213ff655faee00
